aard1 0 -453 -80 209; 1 78 -462 -193; 2 75 -485 37; 3 119 -146 461; 4 92 -472 5; 5 172 -454 109; 6 -51 108 -492;
aard2 0 -137 -141 460; 1 4 -144 472; 2 68 -215 446; 3 -134 473 74; 4 -53 466 157; 5 -66 498 -12; 6 -31 -493 -51; 
aard3 0 -125 499 79; 1 -76 339 362; 2 33 451 225; 3 -114 415 268; 4 88 -475 43; 5 152 -453 143; 6 -7 -112 -503; 

gelio1 0 -281 -416 12; 1 366 178 252; 2 478 -73 105; 3 459 85 150; 4 491 -37 -53; 5 489 -2 -5; 6 437 -92 -216; 
gelio2 0 -137 -141 460; 1 4 -144 472; 2 68 -215 446; 3 -134 473 74; 4 -53 466 157; 5 -66 498 -12; 6 -31 -493 -51; 
gelio3 0 -363 352 45; 1 -162 386 269; 2 115 -172 462; 3 -110 389 297; 4 15 392 319; 5 -67 487 104; 6 -11 -132 -491; 

igni1 0 12 324 382; 1 -55 431 245; 2 -67 498 -3; 3 6 69 -495; 4 -37 495 36; 5 -133 474 75; 6 172 -30 463; 
igni2 0 -137 -141 460; 1 4 -144 472; 2 68 -215 446; 3 -134 473 74; 4 -53 466 157; 5 -66 498 -12; 6 -31 -493 -51; 
igni3 0 -125 499 79; 1 -76 339 362; 2 33 451 225; 3 -114 415 268; 4 88 -475 43; 5 152 -453 143; 6 -7 -112 -503; 

irden1 0 -199 460 78; 1 -81 -240 421; 2 -78 3 498; 3 -49 357 344; 4 -64 -13 493; 5 -107 16 495; 6 16 -8 -506; 
iredn2 0 -137 -141 460; 1 4 -144 472; 2 68 -215 446; 3 -134 473 74; 4 -53 466 157; 5 -66 498 -12; 6 -31 -493 -51; 
irden3 0 -404 -59 288; 1 160 -430 -210; 2 -102 408 271; 3 43 368 324; 4 -6 394 296; 5 0 482 104; 6 84 -25 -493;

kven1 0 -474 -50 93; 1 40 -482 -145; 2 52 -466 121; 3 121 -77 472; 4 74 -468 37; 5 144 -450 141; 6 8 41 -502;
kven2 0 -137 -141 460; 1 4 -144 472; 2 68 -215 446; 3 -134 473 74; 4 -53 466 157; 5 -66 498 -12; 6 -31 -493 -51; 
kven3 0 -404 -59 288; 1 160 -430 -210; 2 -102 408 271; 3 43 368 324; 4 -6 394 296; 5 0 482 104; 6 84 -25 -493;

